epoch,deconv1_v1_loss,deconv1_v2_loss,deconv1_v3_loss,loss
0,0.13913719356060028,0.17994774878025055,0.21040122210979462,0.5294856429100037
1,0.008859374560415745,0.012151307426393032,0.024779288098216057,0.04579000547528267
2,0.0050268471240997314,0.007068109232932329,0.010690640658140182,0.02278558723628521
3,0.004949391353875399,0.006977537646889687,0.010410360991954803,0.022337276488542557
4,0.004938477650284767,0.0069639068096876144,0.010371189564466476,0.022273588925600052
5,0.004935528617352247,0.006960198283195496,0.01035927515476942,0.022254984825849533
6,0.004934240132570267,0.006956575904041529,0.010353188030421734,0.02224399335682392
7,0.00493321567773819,0.0069542680867016315,0.010350118391215801,0.022237597033381462
8,0.004932263400405645,0.006951178889721632,0.01034817285835743,0.022231604903936386
9,0.004931464791297913,0.006949217990040779,0.010345831513404846,0.022226519882678986
10,0.004930797033011913,0.006946651265025139,0.010344929993152618,0.022222379222512245
11,0.004930079448968172,0.006943415850400925,0.01034369133412838,0.022217189893126488
12,0.004929462913423777,0.006940783467143774,0.010342065244913101,0.022212309762835503
13,0.004928696434944868,0.006937921047210693,0.010341249406337738,0.022207865491509438
14,0.004927900619804859,0.006934959441423416,0.010340176522731781,0.022203056141734123
15,0.004927458707243204,0.0069316597655415535,0.010339455679059029,0.022198565304279327
16,0.0049268100410699844,0.0069274259731173515,0.010338101536035538,0.02219233103096485
17,0.004925739020109177,0.006923256907612085,0.010336939245462418,0.022185934707522392
18,0.004925173707306385,0.00691827479749918,0.010335675440728664,0.022179119288921356
19,0.004924563691020012,0.006912596989423037,0.010334832593798637,0.022171981632709503
