epoch,deconv1_v1_loss,deconv1_v2_loss,loss
0,0.2555389106273651,0.19231656193733215,0.4478555917739868
1,0.06389299780130386,0.037376485764980316,0.10126952081918716
2,0.01464861910790205,0.013480720110237598,0.02812933176755905
3,0.010169444605708122,0.011049027554690838,0.02121848240494728
4,0.009894427843391895,0.010900149121880531,0.0207945816218853
5,0.009826497174799442,0.010874887928366661,0.020701386034488678
6,0.009802225045859814,0.010867789387702942,0.02067001722753048
7,0.009794007986783981,0.010864940471947193,0.020658936351537704
8,0.009790463373064995,0.01086355559527874,0.020654011517763138
9,0.009789434261620045,0.010862443596124649,0.02065187692642212
